id,aptem_id,month,category,title,source_ref,reason
157963,5033,2026-04,reading+quiz,Quiz 1,la:80609:121927,Material 121927: original questions available but no saved learner answers
157964,5033,2026-04,reading+quiz,"Q1: Critical Path, Float &amp; Scheduling Concepts",la:80609:80205,Material 80205: original questions available but no saved learner answers
130506,3998,2026-08,assignment,M.MarTech 2: AdTech & CRM Technology - Assignment,asg:61251,No active linked or referenced evidence document/reflection
130442,3665,2026-07,assignment,9. Social Media Marketing - Campaigns & Content,asg:28641,No active linked or referenced evidence document/reflection
130443,3665,2026-08,assignment,M.MarTech 2: AdTech & CRM Technology - Assignment,asg:60999,No active linked or referenced evidence document/reflection
130444,3665,2026-08,assignment,Month 10 - LMS Progress,asg:28655,No active linked or referenced evidence document/reflection
130445,3665,2026-08,assignment,10. Social Media Marketing - Campaigns & Content,asg:28642,No active linked or referenced evidence document/reflection
130507,4002,2025-10,assignment,Day 1,asg:31979,No active linked or referenced evidence document/reflection
130508,4002,2025-11,assignment,Month 1 - LMS Progress,asg:31963,No active linked or referenced evidence document/reflection
130509,4002,2025-11,assignment,Strategy and Planning,asg:31947,No active linked or referenced evidence document/reflection
130510,4002,2025-12,assignment,Month 2 - LMS Progress,asg:31964,No active linked or referenced evidence document/reflection
130511,4002,2025-12,assignment,Strategy and Planning,asg:31948,No active linked or referenced evidence document/reflection
130512,4002,2026-01,assignment,Month 3 - LMS Progress,asg:31965,No active linked or referenced evidence document/reflection
130513,4002,2026-01,assignment,AI in Marketing,asg:31961,No active linked or referenced evidence document/reflection
130514,4002,2026-01,assignment,AI in Marketing,asg:31960,No active linked or referenced evidence document/reflection
130525,4002,2026-01,assignment,AI in Marketing,asg:31959,No active linked or referenced evidence document/reflection
130526,4002,2026-01,assignment,Strategy and Planning,asg:31949,No active linked or referenced evidence document/reflection
130527,4002,2026-02,assignment,Month 4 - LMS Progress,asg:31966,No active linked or referenced evidence document/reflection
130528,4002,2026-02,assignment,AI in Marketing,asg:31962,No active linked or referenced evidence document/reflection
130529,4002,2026-02,assignment,Strategy and Planning,asg:31950,No active linked or referenced evidence document/reflection
130534,4002,2026-04,assignment,Month 6 - LMS Progress,asg:31968,No active linked or referenced evidence document/reflection
130535,4002,2026-04,assignment,Commercial Intelligence,asg:31952,No active linked or referenced evidence document/reflection
130537,4002,2026-05,assignment,Month 7 - LMS Progress,asg:31969,No active linked or referenced evidence document/reflection
130538,4002,2026-05,assignment,Commercial Intelligence,asg:31953,No active linked or referenced evidence document/reflection
130541,4002,2026-06,assignment,Month 8 - LMS Progress,asg:31970,No active linked or referenced evidence document/reflection
130542,4002,2026-06,assignment,Commercial Intelligence,asg:31954,No active linked or referenced evidence document/reflection
130545,4002,2026-07,assignment,Month 9 - LMS Progress,asg:31971,No active linked or referenced evidence document/reflection
130546,4002,2026-07,assignment,Customer Journey Optimisation,asg:31955,No active linked or referenced evidence document/reflection
130547,4002,2026-08,assignment,CI 3:Competitive Advantage & Commercial Insight - Assignment,asg:63254,No active linked or referenced evidence document/reflection
130548,4002,2026-08,assignment,Month 10 - LMS Progress,asg:31972,No active linked or referenced evidence document/reflection
130549,4002,2026-08,assignment,Customer Journey Optimisation,asg:31956,No active linked or referenced evidence document/reflection
130553,4065,2026-06,assignment,M.SM 4: Measuring Performance & Future Trends of Social Media - Assignment,asg:61265,No active linked or referenced evidence document/reflection
130554,4065,2026-08,assignment,M.MarTech 2: AdTech & CRM Technology - Assignment,asg:61287,No active linked or referenced evidence document/reflection
163555,1001,2026-05,reading+quiz,Q1-CDJ as an operating model,la:118213:124009,Material 124009: original questions available but no saved learner answers
130582,4079,2026-08,assignment,"PM 2: Portfolio Design, Prioritisation, Balance and Optimisation - Assignment",asg:73924,No active linked or referenced evidence document/reflection
163556,1001,2026-05,reading+quiz,"Q2-Tailoring offers, promotions, and experiences",la:118213:124043,Material 124043: original questions available but no saved learner answers
130735,4256,2026-06,assignment,"CI 1:Marketing, Commercial Success & Performance - Assignment",asg:65486,No active linked or referenced evidence document/reflection
130730,4256,2026-01,assignment,Month 3 : Strategic Marketing Plan Development - Coach Led Assignment,asg:35093,No active linked or referenced evidence document/reflection
130737,4256,2026-07,assignment,CI 2:Data-Driven Value & Business Impact - LMS Activity,asg:65489,No active linked or referenced evidence document/reflection
130738,4256,2026-07,assignment,CI 2:Data-Driven Value & Business Impact - Assignment,asg:65488,No active linked or referenced evidence document/reflection
130739,4256,2026-08,assignment,CI 3:Competitive Advantage & Commercial Insight - Assignment,asg:65496,No active linked or referenced evidence document/reflection
130524,3994,2026-08,assignment,"EVM 2: Baselines, Planning & Structure - Assignment",asg:82603,No active linked or referenced evidence document/reflection
130583,4104,2025-10,assignment,Day 1 Learning,asg:31633,No active linked or referenced evidence document/reflection
130584,4104,2025-11,assignment,Month 1 What is Project and Project Control - Coach Led Assignment,asg:31733,No active linked or referenced evidence document/reflection
130585,4104,2025-11,assignment,Month 1. Marketing Impact - Introduction to Marketing (Coach Led Assignment),asg:31526,No active linked or referenced evidence document/reflection
130586,4104,2025-11,assignment,Module 1 PCP/AMP PQ - Coach Led Assignments,asg:31772,No active linked or referenced evidence document/reflection
130587,4104,2025-11,assignment,Month 1 - Foundation of Project Control,asg:31597,No active linked or referenced evidence document/reflection
130588,4104,2025-12,assignment,Month 2 Agile Project Management - Coach Led Assignment,asg:31734,No active linked or referenced evidence document/reflection
130593,4104,2026-01,assignment,Month 3. Marketing Impact - Marketing Planning & Strategy (Coach Led Assignment),asg:31528,No active linked or referenced evidence document/reflection
130594,4104,2026-01,assignment,Month 3 - Foundation of Project Control,asg:31599,No active linked or referenced evidence document/reflection
130596,4104,2026-02,assignment,Month 4: Project Leadership and Management - Coach Led Assignment,asg:31736,No active linked or referenced evidence document/reflection
130600,4104,2026-03,assignment,Month 5: Scope Management​ - Coach Led Assignment,asg:31737,No active linked or referenced evidence document/reflection
130604,4104,2026-04,assignment,Month 6 : Cost and Time Estimation (Schedule Management and Cost Management) - Coach Led Assignment,asg:32239,No active linked or referenced evidence document/reflection
130606,4104,2026-04,assignment,Month 6. Planning Integrated Campaigns - Execution Across Channels (Coach Led Assignment),asg:31531,No active linked or referenced evidence document/reflection
130607,4104,2026-04,assignment,Module 1 PCP/AMP PQ - Coach Led Assignments,asg:31797,No active linked or referenced evidence document/reflection
130608,4104,2026-04,assignment,Month 6 - Foundation of Project Control,asg:31602,No active linked or referenced evidence document/reflection
130609,4104,2026-05,assignment,"Month 7: Resource Management, Contracting and Procurements - Coach Led Assignment",asg:31739,No active linked or referenced evidence document/reflection
130610,4104,2026-05,assignment,Month 7. Planning Integrated Campaigns - Evaluation & Wrap-up (Coach Led Assignment),asg:31532,No active linked or referenced evidence document/reflection
130611,4104,2026-05,assignment,Module 1 PCP/AMP PQ - Coach Led Assignments,asg:31798,No active linked or referenced evidence document/reflection
130612,4104,2026-05,assignment,Month 7 - Foundation of Project Control,asg:31603,No active linked or referenced evidence document/reflection
130613,4104,2026-06,assignment,Month 8 : Procurement and Resource Management - Coach Led Assignment,asg:74063,No active linked or referenced evidence document/reflection
130614,4104,2026-06,assignment,Month 8: Risk Management ​- Coach Led Assignment,asg:31740,No active linked or referenced evidence document/reflection
130618,4104,2026-07,assignment,Month 9 : Communication and Stakeholder Engagement - Coach Led Assignment,asg:74068,No active linked or referenced evidence document/reflection
130619,4104,2026-07,assignment,EVM 1: EVM Foundations & Governance - Assignment,asg:74032,No active linked or referenced evidence document/reflection
130592,4104,2026-01,assignment,Month 3 Agile Control Tools and techniques - Coach Led Assignment,asg:31735,No active linked or referenced evidence document/reflection
130595,4104,2026-02,assignment,Month 4 : Agile Project Management in Managing Projects (Agile as a Management Framework) - Coach Led Assignment,asg:32237,No active linked or referenced evidence document/reflection
130597,4104,2026-02,assignment,Month 4. Marketing Impact - Implementation & Control (Coach Led Assignment),asg:31529,No active linked or referenced evidence document/reflection
130598,4104,2026-02,assignment,Module 1 PCP/AMP PQ - Coach Led Assignments,asg:31773,No active linked or referenced evidence document/reflection
130601,4104,2026-03,assignment,Month 5. Planning Integrated Campaigns (Coach Led Assignment),asg:31530,No active linked or referenced evidence document/reflection
130602,4104,2026-03,assignment,Module 1 PCP/AMP PQ - Coach Led Assignments,asg:31796,No active linked or referenced evidence document/reflection
130603,4104,2026-03,assignment,Month 5 - Foundation of Project Control,asg:31601,No active linked or referenced evidence document/reflection
130605,4104,2026-04,assignment,Month 6: Scheduling and Cost Management - Coach Led Assignment,asg:31738,No active linked or referenced evidence document/reflection
130615,4104,2026-06,assignment,Month 8. Social Media Marketing - Social Media Strategy (Coach Led Assignment),asg:31533,No active linked or referenced evidence document/reflection
130616,4104,2026-06,assignment,Module 1 PCP/AMP PQ - Coach Led Assignments,asg:31799,No active linked or referenced evidence document/reflection
130617,4104,2026-06,assignment,Month 8 - Foundation of Project Control,asg:31604,No active linked or referenced evidence document/reflection
130852,4350,2026-07,assignment,"PM 1: Portfolio Definition, Strategic Intent & Investment Boundaries - Assignment",asg:72534,No active linked or referenced evidence document/reflection
130853,4350,2026-07,assignment,Month 9 : Communication and Stakeholder Engagement - Coach Led Assignment,asg:32653,No active linked or referenced evidence document/reflection
130854,4350,2026-08,assignment,"PM 2: Portfolio Design, Prioritisation, Balance and Optimisation - Assignment",asg:72535,No active linked or referenced evidence document/reflection
130909,4413,2026-08,assignment,M.CJ 3: Governance & Compliance - Assignment,asg:53781,No active linked or referenced evidence document/reflection
131081,4626,2026-08,assignment,AI 3:AI Strategy & Performance - Assignment,asg:64917,No active linked or referenced evidence document/reflection
130560,4040,2026-05,assignment,M.SM 3: Project Management in Marketing - Assignment,asg:61561,No active linked or referenced evidence document/reflection
130561,4040,2026-06,assignment,M.SM 4: Measuring Performance & Future Trends of Social Media - Assignment,asg:61553,No active linked or referenced evidence document/reflection
130562,4040,2026-07,assignment,M.MarTech 1: Introduction into MarTech & AI in Marketing - Assignment,asg:61574,No active linked or referenced evidence document/reflection
130563,4040,2026-08,assignment,M.MarTech 2: AdTech & CRM Technology - Assignment,asg:61575,No active linked or referenced evidence document/reflection
130655,4124,2026-02,assignment,Month 4 - LMS Progress,asg:32008,No active linked or referenced evidence document/reflection
130657,4124,2026-02,assignment,Strategy and Planning,asg:31992,No active linked or referenced evidence document/reflection
130645,4124,2025-11,assignment,Month 1 - LMS Progress,asg:32005,No active linked or referenced evidence document/reflection
130646,4124,2025-11,assignment,Strategy and Planning,asg:31989,No active linked or referenced evidence document/reflection
163557,1001,2026-05,reading+quiz,"Q3-Monitoring, governance, experimentation quality, scaling",la:118213:124082,Material 124082: original questions available but no saved learner answers
130649,4124,2026-01,assignment,Month 3 - LMS Progress,asg:32007,No active linked or referenced evidence document/reflection
130650,4124,2026-01,assignment,AI in Marketing,asg:32003,No active linked or referenced evidence document/reflection
130651,4124,2026-01,assignment,AI in Marketing,asg:32002,No active linked or referenced evidence document/reflection
130652,4124,2026-01,assignment,AI in Marketing,asg:32001,No active linked or referenced evidence document/reflection
130653,4124,2026-01,assignment,Strategy and Planning,asg:31991,No active linked or referenced evidence document/reflection
130654,4124,2026-02,assignment,Month 3 : Strategic Marketing Plan Development - Coach Led Assignment,asg:32819,No active linked or referenced evidence document/reflection
130656,4124,2026-02,assignment,AI in Marketing,asg:32004,No active linked or referenced evidence document/reflection
130659,4124,2026-03,assignment,Month 5 - LMS Progress,asg:32009,No active linked or referenced evidence document/reflection
130660,4124,2026-03,assignment,Commercial Intelligence,asg:31993,No active linked or referenced evidence document/reflection
130662,4124,2026-04,assignment,Month 6 - LMS Progress,asg:32010,No active linked or referenced evidence document/reflection
